id_evento,id_evento2,nombre_evento,recinto,fecha_inicio,fecha_termino,productora,artista
30,17,Anastasia,Salitre Magico,2019-12-07,2019-12-07,Ye & Ca Producciones,Cami
31,18,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22,LetsGo Company,Ozuna
32,18,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22,LetsGo Company,Farruko
33,18,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22,LetsGo Company,Karol G
34,18,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22,LetsGo Company,Becky G
35,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Olivia Rodrigo
36,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Jonas Brothers
37,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Justin Bieber
38,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Miley Cyrus
39,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Demi Lovato
40,19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,ATOMIC FILMS,Selena Gomez
41,20,WAP,E-Werk,2016-03-06,2016-03-06,MGC,Cardi B
42,21,Passionfruit,Explanada Ciudad Empresarial,2020-04-13,2020-04-13,Reverb - productora de eventos,Drake
43,22,Fourplan Event,Olympiahalle,2016-08-16,2016-08-20,Yataco,Beele
44,22,Fourplan Event,Olympiahalle,2016-08-16,2016-08-20,Yataco,Cris MJ
45,22,Fourplan Event,Olympiahalle,2016-08-16,2016-08-20,Yataco,Luar La L
46,22,Fourplan Event,Olympiahalle,2016-08-16,2016-08-20,Yataco,Tini Stoessel
47,23,Epic Show,Arena TSB Bank,2018-05-06,2018-05-06,Queenstown Event Company,The Martinez Brothers
48,24,Get Jacked,Carrer Baix Vinalopo,2021-02-14,2021-02-14,Producciones Baltimore,Afrojack
49,25,DJs Apoyando a Chile,Teatro Teletón,2016-12-11,2016-11-15,Andeschimp spa,Afrojack
50,25,DJs Apoyando a Chile,Teatro Teletón,2016-12-11,2016-11-15,Andeschimp spa,Hardwell
51,25,DJs Apoyando a Chile,Teatro Teletón,2016-12-11,2016-11-15,Andeschimp spa,David Guetta
52,26,Voyage,Studio The Venue,2020-05-29,2020-05-31,Leading Event Agency,ABBA
53,27,One Night Only,Movistar Arena,2019-04-05,2019-04-05,G & t business group spa,Bee Gees
54,28,DISCOTEKA,Mercedes-Benz Arena,2016-10-04,2016-10-04,Bierlinerin,Lola Indigo
55,29,Niño Blessi,Bikini Barcelona,2020-04-19,2020-04-19,Live Nation,DrefQuila
56,30,Bangerz,Don Haskins Center,2018-12-08,2018-12-08,Hartmann Studios,Miley Cyrus
57,31,La Criminal,Club Subterraneo,2019-11-06,2019-11-06,Glovox producciones limitada,Natti Natasha
58,32,Mami Tour,Columbianhalle,2022-12-19,2022-12-19,Nachhaltige Events,Paloma Mami
59,33,Map of the Soul,Shubert Theatre,2020-06-21,2020-06-23,The Imagos,BTS
60,34,Twelve Carat Tour,Teatro Mayor,2022-05-29,2022-05-29,Tyg Eventos y Producciones,Post Malone
61,35,A7S Show,Carrer Baix Vinalopo,2019-01-06,2019-01-06,Live Nation,A7S
62,36,Nobody like you,Palau Sant Jordi,2022-07-26,2022-07-26,Live Nation,Nicki Nicole
63,37,How do you sleep,Teatro Municipal de Santiago,2022-09-14,2022-09-14,Lotus producciones limitada,Sam Smith
64,38,Lotto,Estadio Nacional,2021-10-10,2021-10-10,Tolten eventos,EXO
65,39,Phoenix Show,Espacio Unimed,2016-01-08,2016-01-08,Somosfk,Rita Ora
66,40,Myrad,Teatro Municipal de Santiago,2016-05-03,2016-05-03,Universal circus,Nicky Romero
67,41,Sub Focus,Moon Valencia,2016-02-15,2016-02-20,Ibolele Producciones,Coldplay
68,42,"Young, Dumb and Broke",Teatro Municipal de Santiago,2022-09-16,2022-09-16,G & t business group spa,Khalid
69,43,S.U.N.O,The Anthem,2016-06-16,2016-06-16,Los Angeles AV Production,Pablo Chill-E
70,44,EQILIBRIO,Festhalle,2021-08-14,2021-08-14,Europages,Polima Westcoast
71,45,DJ Snake,Espacio Unimed,2016-02-15,2016-02-15,Brasil Stands,DJ Snake
72,46,The After Hours,WIZink Center,2021-11-04,2021-11-04,Planet Events,The Weeknd
73,47,Sin Despertar,Warehouse Live,2020-02-26,2020-02-26,Hartmann Studios,Kudai
74,48,El negrito ojos claros,Hipodromo de Palermo,2017-08-24,2017-08-24,FEG ENTRETENIMIENTOS,Ozuna
75,49,Papi Juancho,Cirque Royal,2021-07-16,2021-07-16,Expat,Maluma
76,50,Sueño Stereo,Shubert Theatre,2020-08-02,2020-08-02,Eveerlast Productions INC.,Soda Stereo
77,51,One Vision of Queen,Teatro Gran Rex,2020-07-24,2020-07-27,FMG PRODUCCIONES,Queen
78,52,Perfect All Experimenters,Aotea Centre,2016-07-24,2016-07-24,Event Management NZ,Anitta
79,53,The Joshua Tree,Luna Park,2020-02-27,2020-02-27,COMPAÑÍA ARGENTINA DE SUEÑOS,U2
80,54,Mami Tour,Thunder Bay,2022-07-09,2022-07-09,EventsEye,Paloma Mami
81,55,Concha Acústica UC 2022,Club Subterraneo,2022-10-24,2022-10-28,Eventos mudness limitada,Jordan 23
82,55,Concha Acústica UC 2022,Club Subterraneo,2022-10-24,2022-10-28,Eventos mudness limitada,Pailita
83,55,Concha Acústica UC 2022,Club Subterraneo,2022-10-24,2022-10-28,Eventos mudness limitada,Pablo Chill-E
84,55,Concha Acústica UC 2022,Club Subterraneo,2022-10-24,2022-10-28,Eventos mudness limitada,Paloma Mami
85,55,Concha Acústica UC 2022,Club Subterraneo,2022-10-24,2022-10-28,Eventos mudness limitada,Marcianeke
86,56,The E.N.D World,Air Canada Centre,2021-05-12,2021-05-12,Eventos Toronto Shaddai,Black Eyed Peas
87,57,Step by Step,City Hall el Rodeo,2016-03-28,2016-03-28,Onlygroundmusic,New Kids on the Block
88,58,LOS APARATOS,Tarpeian Precinct Lawn,2018-08-12,2018-08-12,YouTOOProject,Trueno
89,59,Mil Rosas,Leons Centre,2018-01-18,2018-01-18,Eventos Toronto Shaddai,La Oreja de Van Gogh
90,60,La leyenda,UBS Arena,2018-03-02,2018-03-02,Event Production Company,Gustavo Cerati
91,61,Caminemos de la Mano,Quinta Vergara,2016-07-21,2016-07-21,Casa eventos,Pailita
92,62,Anastasia,Pabellon Fuente de San Luis,2020-07-04,2020-07-04,Planet Events,Cami
93,63,Desesperados,Arena TSB Bank,2019-09-24,2019-09-24,Lets Dance,Rauw Alejando
94,64,Real Scene,Phoenix Concert Theatre,2021-09-11,2021-09-11,Yataco,Big Bang
95,65,Entre Nosotros,Sala La Rivera,2020-12-21,2020-12-21,Live Nation,Tiago PZK
96,66,Me Veras Volver,Palau Sant Jordi,2017-09-06,2017-11-06,Live Nation,Soda Stereo
97,67,Fine Line,Estadio Rose Bowl,2022-08-11,2022-10-11,Live Nation,Harry Styles
98,68,The After Hours,Teatro Caupolicán,2018-05-08,2018-05-08,Apparcel producciones limitada,The Weeknd
99,69,Heartbreak Weather,SALA SANTANA,2020-06-16,2020-06-16,LetsGo Company,Niall Horan
100,70,Oh How,La Madeleine,2021-09-10,2021-09-10,Xceed,Eagles
101,71,El amor despues del amor,Aotea Centre,2021-01-05,2021-02-05,Lets Dance,Fito Paez
102,72,The After Hours,Teatro Coliseo,2018-04-20,2018-04-20,Producciones oz limitada,The Weeknd
103,73,Flicker,SALA SANTANA,2021-04-18,2021-04-18,IndyRock,Niall Horan
104,74,Show Forest,Radio City Music Hall,2016-04-11,2016-06-11,Hartmann Studios,5 Seconds of Summer
105,74,Show Forest,Radio City Music Hall,2016-04-11,2016-06-11,Hartmann Studios,One Direction
106,74,Show Forest,Radio City Music Hall,2016-04-11,2016-06-11,Hartmann Studios,Big Time Rush
107,75,DISCOTEKA,El Huevo,2017-09-30,2017-09-30,Global producciones spa,Lola Indigo
108,76,1989,Jeunesse Arena,2018-07-13,2018-07-13,Somosfk,Taylor Swift
109,77,Beto Cuevas,Kursaal Oostende,2018-04-12,2018-04-12,Litmind,Beto Cuevas
110,78,Perfect Specacular Paradise,Sala Apolo,2016-02-26,2016-02-26,Live Nation,Alan Walker
111,79,Ko Ko Pop,Estadio Nacional,2020-01-14,2020-01-14,Ramasso Productora,EXO
112,80,WAR,Shubert Theatre,2021-05-10,2021-05-10,Live Nation,U2
113,81,Shivers,Lanxess Arena,2018-03-01,2018-03-01,CK Events Germany,Ed Sheeran
114,82,Perfect Specacular Paradise,Estadio Monumental,2016-06-16,2016-06-16,Vision world producciones limitada,Alan Walker
115,83,Twelve Carat Tour,Sala La Rivera,2022-07-08,2022-07-08,Live Nation,Post Malone
116,84,Mystere,LAUT,2019-08-10,2019-11-10,IndyRock,Cirque du Solei
117,85,Dont start now,Teatro Gran Rex,2017-02-02,2017-02-02,FMG PRODUCCIONES,Dua Lipa
118,86,Material Girl,Estadio ANZ,2016-06-21,2016-06-21,Event Hire Sydney,Madonna
119,87,Hips dont lie,Espacio Riesco,2017-12-22,2017-12-22,Productora energy in motion limitada,Shakira
120,88,QueenB,Club Providencia,2019-08-06,2019-08-06,Casa eventos,Beyonce
121,89,Plastic Hearts,UBS Arena,2021-05-23,2021-05-23,Los Angeles AV Production,Miley Cyrus
122,90,Bang Bang,Warehouse Live,2021-02-03,2021-02-03,Los Angeles AV Production,Jessie J
123,91,Lively And Supreme,Mercedes-Benz Arena,2020-09-11,2020-09-11,Eventveranstalter Hamburg,Armin Van Buuren
124,92,Lali Esposito: The Show,Days Bay Pavilion,2021-03-03,2021-03-03,Leading Event Agency,Lali Esposito
125,93,S.U.N.O,Cupula Multiespacio,2018-08-21,2018-08-21,DG Medios y espectaculos s.a.,Pablo Chill-E
126,94,El negrito ojos claros,Teatro Municipal de Valparaiso,2018-07-07,2018-07-07,Producciones musicales massivo reccords limitada,Ozuna
127,95,Salimo de Noche,Palacio de las Artes,2019-02-28,2019-02-28,LetsGo Company,Tiago PZK
128,96,Beyond Wonderland,Gran Arena Monticello,2016-06-29,2016-06-29,BDD Producciones,Marshmello
129,97,The Real Slim Shady,Club Subterraneo,2020-10-01,2020-12-01,DG Medios y espectaculos s.a.,Eminem
130,98,Revelation Magic Everything,Trafalgar Centre Paru,2022-01-04,2022-01-04,Queenstown Event Company,Afrojack
131,99,Passionfruit,Club Blondie,2017-05-18,2017-05-18,Producciones y eventos empire digital limitada,Drake
132,100,Heather,Teatro Teletón,2021-01-18,2021-01-18,Eventos luis maturana ortega e.i.r.l,Conan Gray
133,101,EteSesh,FirstOntario Centre,2019-07-07,2019-07-07,Canada Eventos,Sech
134,102,Ye,El Huevo,2022-11-08,2022-11-08,G & t business group spa,Kanye West
135,103,Super Freaky Girl,Casino de Viña del Mar,2022-01-01,2022-01-01,Glovox producciones limitada,Nicki Minaj
136,104,DISCOTEKA,Independance Club,2021-02-28,2021-02-28,IndyRock,Lola Indigo
137,105,SongKick,SOF Q8 Toinha Brasil,2020-08-09,2020-08-09,BRL Eventos,Skrillex
138,106,Ultra Solo,Niceto Club,2021-11-12,2021-11-12,FMG PRODUCCIONES,Pailita
139,107,Schulz Forever,Arena Ludwingsburg,2021-02-22,2021-02-22,B+D Events,Robin Schulz
140,108,Born this way,Shubert Theatre,2017-05-08,2017-05-08,Event Production Company,Lady Gaga
141,109,Dia Cero,Forest National,2018-11-14,2018-11-14,Global Journey,La Ley
142,110,Papi Juancho,Estadio Rose Bowl,2022-07-17,2022-07-17,Horwath Productions INC.,Maluma
143,111,La Ultima Vuelta,Club RBX,2016-12-11,2016-11-14,Street machine producciones s.a.,Daddy Yankee
144,112,Le Reve,The Fillmore Philadelphia,2017-03-28,2017-03-31,Live Nation,Cirque du Solei
145,113,A7S Show,Barclaycard Arena,2017-12-19,2017-12-19,B+D Events,A7S
146,114,Umbrella Concert,Movistar Arena,2019-08-07,2019-08-07,ATOMIC FILMS,Rihanna
147,115,The Encounter,Crypto.com Arena,2022-04-17,2022-04-17,Revelation,One Direction
148,116,El Duko2.0,Thunder Bay,2020-07-29,2020-07-29,EventsEye,Duki
149,117,KAWAII,SALA SANTANA,2022-02-06,2022-02-06,Planet Events,Polima Westcoast
150,118,Paramore,Niceto Club,2017-01-11,2017-01-11,FEG ENTRETENIMIENTOS,Paramore
151,119,Tomorrow Never Knows,Studio The Venue,2020-03-07,2020-03-07,Ethno Nueva Zelanda,The Beatles
152,120,Telepatia,Raley Field,2017-03-02,2017-03-02,Eveerlast Productions INC.,Nathy Peluso
153,121,PlanAhead,Luna Park,2021-05-02,2021-05-02,ESTADIUM LUNA PARK,Alesso
154,122,Big Time,"Stage Live, Kalea",2016-04-07,2016-04-07,Planet Events,Big Time Rush
155,123,MMM Bop,Wilterm Theatre,2017-08-16,2017-08-16,Live Nation,Hansen
156,124,Anastasia,Teatro Cariola,2019-07-19,2019-07-19,G & t business group spa,Cami
157,125,Five Day,Arena TSB Bank,2021-07-08,2021-07-08,Event Management NZ,Pearl Jam
158,126,Fruta y te,Raley Field,2017-04-17,2017-04-17,The Imagos,Gepe
159,127,Dolby Live,Palais 12,2016-06-07,2016-06-07,Top Bruselas,Aerosmith
160,128,Map of the Soul,Teatro Municipal de Santiago,2020-12-05,2020-05-15,Capsule producciones spa,BTS
161,129,Born this way,Irving Plaza,2020-09-12,2020-09-12,CSI DMC,Lady Gaga
162,130,Passionfruit,Columbianhalle,2020-10-10,2020-10-10,Europages,Drake
163,131,WAP,Madison Square Garden,2018-12-23,2018-12-23,The Imagos,Cardi B
164,132,Tusa,Metropolitano Rosario,2020-11-07,2020-11-07,ESPECTACULOS GALLO,Nicki Minaj
165,133,Frozen,Teatro Colon,2019-12-09,2019-12-09,FMG PRODUCCIONES,Madonna
166,134,El Alfa Tour,The Brooklyn Monarch,2019-08-25,2019-08-25,Event Production Company,El Alfa
167,135,Reputation,Raley Field,2016-03-30,2016-03-31,Live Nation,Taylor Swift
168,136,MJ Tribute,Warehouse Live,2016-01-12,2016-03-12,AEG,Michael Jackson
169,137,FULL PIOLI,Estadio Rose Bowl,2017-07-13,2017-07-13,Revelation,Pablo Chill-E
170,138,One Night Only,WIZink Center,2017-09-26,2017-09-26,Producciones Baltimore,Bee Gees
171,139,Same old love,Days Bay Pavilion,2020-03-28,2020-03-28,manatua.nz,Selena Gomez
172,140,Convencete,Thunder Bay,2020-02-16,2020-02-16,EventsEye,Princesa Alba
173,141,Bigger than me,Metropol,2020-06-01,2020-06-01,Europages,Louis Tomlinson
174,142,Alpha Eventalist,Estadio Bicentario de La Florida,2021-10-15,2021-10-15,DG Medios y espectaculos s.a.,Duncan Laurence
175,143,Young Flex,Estadio de Futbol Atanasio Girardot,2018-09-04,2018-09-04,Rocko Saroni Eventos,Khea
176,144,Nicky Jam Show,Radio City Music Hall,2019-08-28,2019-08-28,Live Nation,Nicky Jam
177,145,Big E Party Moment,Air Canada Centre,2020-10-18,2020-10-18,Eventos Toronto Shaddai,New Kids on the Block
178,146,Natural,Gran Arena Monticello,2016-05-07,2016-05-07,Dreams - eventos,Selena Gomez
179,147,Fourplan Mania,Kursaal Oostende,2019-04-29,2019-04-29,Rove.me,Duncan Laurence
180,148,Get Jacked,Arena TSB Bank,2017-01-16,2017-01-16,Event Management NZ,Afrojack
181,149,JLo,Club Subterraneo,2018-02-18,2018-02-18,DG Medios y espectaculos s.a.,Jennifer Lopez
182,150,MMM Bop,HISTORY,2022-05-14,2022-05-14,Expat,Hansen
183,151,Eventage Feasts,Luna Park,2016-06-09,2016-06-09,ESTADIUM LUNA PARK,Doja Cat
184,152,Mil Rosas,City Hall el Rodeo,2016-03-03,2016-03-03,Animationphoenix,La Oreja de Van Gogh
185,153,I Used to Think I could Fly,Salitre Magico,2019-10-23,2019-10-23,Sinstress Eventos,Tate McRae
186,154,Que oso,Youtube Theatre,2018-05-22,2018-05-22,Los Angeles AV Production,Snow
187,155,Telepatia,Club Chocolate,2022-04-06,2022-04-06,Eventos luis maturana ortega e.i.r.l,Nathy Peluso
188,156,Everybody,Gran Arena Monticello,2016-10-21,2016-10-21,DG Medios y espectaculos s.a.,Madonna
189,157,Shape of you,Aussie Stadium,2016-04-20,2016-04-20,Event Hire Sydney,Ed Sheeran
190,158,CARAVANA,Carioca Club,2018-07-29,2018-07-29,BRL Eventos,Wos
191,159,Papi Juancho,Teatro Municipal de Santiago,2020-09-18,2020-09-18,DG Medios y espectaculos s.a.,Maluma
192,160,Ko Ko Pop,Palau Sant Jordi,2019-04-20,2019-04-20,LetsGo Company,EXO
193,161,Golden,La Marina de Valencia,2022-03-23,2022-03-26,LetsGo Company,Harry Styles
194,162,Bigger than me,Teatro Colon,2021-05-29,2021-05-29,PROSPERO PRODUCCIONES,Louis Tomlinson
195,163,Roads Time,Columbianhalle,2020-02-06,2020-02-06,Europages,Daft Punk
196,164,"Young, Dumb and Broke",Trafalgar Centre Paru,2020-06-09,2020-06-09,Event Management NZ,Khalid
197,165,RBD the comeback,Teatro Municipal de Valparaiso,2020-02-17,2020-02-17,Productora de eventos moviefan limitada,RBD
198,166,Talking to the moon,Aotea Centre,2021-02-24,2021-02-24,manatua.nz,Bruno Mars
199,167,TJB,Dodger Stadium,2022-06-25,2022-06-25,Hartmann Studios,Jonas Brothers
200,168,Schulz Forever,La Marina de Valencia,2022-03-22,2022-03-22,Live Nation,Robin Schulz
201,169,Younger now,HISTORY,2017-03-27,2017-03-27,EventsEye,Miley Cyrus
202,170,Treat you better,Moon Valencia,2019-09-30,2019-09-30,LetsGo Company,Shawn Mendes
203,171,Habana,Velodromo de Berlin,2018-10-09,2018-10-09,Litmind,Camila Cabello
204,172,Bigger than me,Estadio ANZ,2019-07-28,2019-07-28,CMG Audio Visual,Louis Tomlinson
205,173,I Aint Worried,Estadio Monumental,2019-12-01,2019-12-01,K PRODUCCIONES S.A.,One Republic
206,174,Kill my mind,La Madeleine,2017-01-28,2017-01-28,Xceed,Louis Tomlinson
207,175,Paramore,Powerstation 33,2016-05-30,2016-05-30,manatua.nz,Paramore
208,176,Best Part,Chango Club,2018-08-11,2018-08-11,Planet Events,Daniel Caesar
209,177,Maria Becerra,Teatro Municipal de Santiago,2022-06-10,2022-06-10,Ais producciones,Maria Becerra
210,178,ShoNuf Lucky,Opera de Sidney,2019-02-10,2019-02-10,Sydney WorldPride,Hardwell
211,179,El Duko,Parque Bicentenario Cerrillos,2018-07-12,2018-07-12,Andres gardeweg producciones e.i.r.l,Duki
212,180,How do you sleep,Teatro Municipal de Santiago,2021-09-25,2021-09-25,Time for fun (t4f),San Smith
213,181,Lively And Supreme,Quinta Vergara,2018-08-30,2018-08-30,G & t business group spa,Armin Van Buuren
214,182,El Ultimo Concierto,Gran Arena Monticello,2016-07-19,2016-07-22,Sony music entertainment chile s.a.,Soda Stereo
215,183,Gowlding,Salitre Magico,2022-12-17,2022-12-17,Audio Level Eventos,Ellie Gowlding
216,184,Tren al Sur,Estadio Bicentario de La Florida,2018-11-27,2018-11-27,Yellow House,Los Prisioneros
217,185,RUNAWAY,Estadio ANZ,2021-09-07,2021-12-07,Expat,Bon Jovi
218,186,CARAVANA,Don Haskins Center,2019-01-05,2019-01-05,Event Production Company,Wos
219,187,Todo Cambia,Fundo Colmito,2021-12-15,2021-12-15,Comercial caupolican limitada,Mercedes Sosa
220,188,One Night Only,Bilbao Arena,2021-08-10,2021-08-10,Ibolele Producciones,Bee Gees
221,189,Watch out for this,Sala But,2019-12-17,2019-12-17,Planet Events,Major Lazer
222,190,Seize The Day,Thunder Bay,2022-09-08,2022-09-08,EventsEye,My Chemical Romance
223,191,Dangerous Woman,Days Bay Pavilion,2018-02-08,2018-02-08,Ethno Nueva Zelanda,Ariana Grande
224,192,I Aint Worried,Luna Park,2021-05-15,2021-05-15,ESTADIUM LUNA PARK,One Republic
225,193,La Ultima Mision,Estadio Rose Bowl,2017-08-12,2017-08-12,CSI DMC,Wisin & Yandel
226,194,Drivers License Tour,ZAG Arena,2016-02-17,2016-02-17,MGC,Olivia Rodrigo
227,195,Heather,Palau Sant Jordi,2018-03-01,2018-03-01,Live Nation,Conan Gray
228,196,Dangerous Woman,Niceto Club,2021-07-22,2021-07-22,Ramasso Productora,Ariana Grande
229,197,Gowlding,Sala Apolo,2019-07-03,2019-07-03,Live Nation,Ellie Gowlding
230,198,Michael Jackson Tribute,Cupula Multiespacio,2017-11-13,2017-11-15,Time for fun (t4f),Michael Jackson
231,199,The Misery,Spark Arena,2020-10-27,2020-10-27,Queenstown Event Company,Imagine Dragons
232,200,El J23,Canadian Tire Centre,2020-10-07,2020-10-07,Mayam Producciones,Jordan 23
